,SMAD6,HHEX,RUNX1,CBFA2T3,ERG,GATA1,GATA2,ZFPM1,TAL1,SPI1,FLI1,CSF3R
O1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,
O2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
O3.1,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,
O3.2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,
O4.1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,
O4.2,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,
Extended,0.9923398328690808,0.995125348189415,0.5013927576601671,0.49512534818941506,0.5097493036211699,0.0,0.5013927576601671,0.4979108635097493,0.9930362116991643,0.3767409470752089,1.0,0.0
Extended_GATA1=1_FLI1=2,0.436442479381005,0.4373777739988096,0.30966754527676216,0.16223110279738118,0.42504889040047616,1.0,0.15704446900773744,0.16078564747895588,0.9005186633789644,0.11504123798996684,0.0,0.0
Extended_CSF3R=1,0.9150411790203727,0.9146077156480278,0.5097529258777633,0.46293888166449937,0.5145210229735587,0.0,0.4659731252709146,0.46423927178153446,0.9133073255309926,0.6809709579540529,0.0,1.0
Extended_CSF3R=0.5,0.8405724746214013,0.8422366450324513,0.4581461141620902,0.4243634548177733,0.463554667998003,0.0,0.4291063404892661,0.4256947911466134,0.8421534365118988,0.427275753037111,0.0,1.0
