TR:AsPC1:CellLine,TR:EGFRi,TR:JAKi,TR:AktPi,TR:PDPK1i,TR:MEKi,TR:AktMi,TR:IKKsi,TR:PI3Ki,TR:TNF,TR:EGF,DA:ALL,DV:Cas3
1,0,0,0,0,0,0,0,0,0,1,0,0
1,1,0,0,0,0,0,0,0,0,1,0,0
1,0,1,0,0,0,0,0,0,0,1,0,0
1,1,1,0,0,0,0,0,0,0,1,0,0
1,0,0,1,1,0,0,0,0,0,1,0,0
1,1,0,1,1,0,0,0,0,0,1,0,0
1,0,1,1,1,0,0,0,0,0,1,0,0
1,0,0,0,0,1,0,0,0,0,1,0,0
1,1,0,0,0,1,0,0,0,0,1,0,0
1,0,1,0,0,1,0,0,0,0,1,0,0
1,0,0,1,1,1,0,0,0,0,1,0,0
1,0,0,0,0,0,1,0,0,0,1,0,0
1,1,0,0,0,0,1,0,0,0,1,0,0
1,0,1,0,0,0,1,0,0,0,1,0,0
1,0,0,1,1,0,1,0,0,0,1,0,0
1,0,0,0,0,1,1,0,0,0,1,0,0
1,0,0,0,0,0,0,1,0,0,1,0,0
1,1,0,0,0,0,0,1,0,0,1,0,0
1,0,1,0,0,0,0,1,0,0,1,0,0
1,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,0,1,0,1,0,0,1,0,0
1,0,0,0,0,0,1,1,0,0,1,0,0
1,0,0,0,0,0,0,0,1,0,1,0,0
1,1,0,0,0,0,0,0,1,0,1,0,0
1,0,1,0,0,0,0,0,1,0,1,0,0
1,0,0,1,1,0,0,0,1,0,1,0,0
1,0,0,0,0,1,0,0,1,0,1,0,0
1,0,0,0,0,0,1,0,1,0,1,0,0
1,0,0,0,0,0,0,1,1,0,1,0,0
1,0,0,0,0,0,0,0,0,1,1,0,0
1,1,0,0,0,0,0,0,0,1,1,0,0
1,0,1,0,0,0,0,0,0,1,1,0,0
1,0,0,1,1,0,0,0,0,1,1,0,0
1,0,0,0,0,1,0,0,0,1,1,0,0
1,0,0,0,0,0,1,0,0,1,1,0,0
1,0,0,0,0,0,0,1,0,1,1,0,0
1,0,0,0,0,0,0,0,1,1,1,0,0
1,0,0,0,0,0,0,0,0,0,1,30,0
1,1,0,0,0,0,0,0,0,0,1,30,0.317699656607137
1,0,1,0,0,0,0,0,0,0,1,30,0.270094786375027
1,1,1,0,0,0,0,0,0,0,1,30,0.607302370980339
1,0,0,1,1,0,0,0,0,0,1,30,0.159653529482035
1,1,0,1,1,0,0,0,0,0,1,30,0.266385858641878
1,0,1,1,1,0,0,0,0,0,1,30,0.269612482773083
1,0,0,0,0,1,0,0,0,0,1,30,0.240832495989131
1,1,0,0,0,1,0,0,0,0,1,30,0.634766766045913
1,0,1,0,0,1,0,0,0,0,1,30,0.584932972296217
1,0,0,1,1,1,0,0,0,0,1,30,0.182102409089389
1,0,0,0,0,0,1,0,0,0,1,30,0.370602545724671
1,1,0,0,0,0,1,0,0,0,1,30,0.56509587883761
1,0,1,0,0,0,1,0,0,0,1,30,0.705837125883318
1,0,0,1,1,0,1,0,0,0,1,30,0.446556539767226
1,0,0,0,0,1,1,0,0,0,1,30,0.520769318890834
1,0,0,0,0,0,0,1,0,0,1,30,0.400900603992356
1,1,0,0,0,0,0,1,0,0,1,30,0.639879611887044
1,0,1,0,0,0,0,1,0,0,1,30,0.489268716015632
1,0,0,1,1,0,0,1,0,0,1,30,0.168159898289997
1,0,0,0,0,1,0,1,0,0,1,30,0.492776318268945
1,0,0,0,0,0,1,1,0,0,1,30,0.611052995451828
1,0,0,0,0,0,0,0,1,0,1,30,0.369222630620877
1,1,0,0,0,0,0,0,1,0,1,30,0.710918524140326
1,0,1,0,0,0,0,0,1,0,1,30,0.576228047473262
1,0,0,1,1,0,0,0,1,0,1,30,0.256327468835509
1,0,0,0,0,1,0,0,1,0,1,30,0.516109567691131
1,0,0,0,0,0,1,0,1,0,1,30,0.561880348218217
1,0,0,0,0,0,0,1,1,0,1,30,0.485318013574451
1,0,0,0,0,0,0,0,0,1,1,30,0.247656767090563
1,1,0,0,0,0,0,0,0,1,1,30,0.481211852459667
1,0,1,0,0,0,0,0,0,1,1,30,0.534992801599839
1,0,0,1,1,0,0,0,0,1,1,30,0.31750767835584
1,0,0,0,0,1,0,0,0,1,1,30,0.431260444211824
1,0,0,0,0,0,1,0,0,1,1,30,0.579572054669719
1,0,0,0,0,0,0,1,0,1,1,30,0.532915894063136
1,0,0,0,0,0,0,0,1,1,1,30,0.580771284821182
