TR:BxPC3:CellLine,TR:EGFRi,TR:JAKi,TR:AktPi,TR:PDPK1i,TR:MEKi,TR:AktMi,TR:IKKsi,TR:PI3Ki,TR:TNF,TR:EGF,DA:ALL,DV:Cas3
1,0,0,0,0,0,0,0,0,0,1,0,0
1,1,0,0,0,0,0,0,0,0,1,0,0
1,0,1,0,0,0,0,0,0,0,1,0,0
1,1,1,0,0,0,0,0,0,0,1,0,0
1,0,0,1,1,0,0,0,0,0,1,0,0
1,1,0,1,1,0,0,0,0,0,1,0,0
1,0,1,1,1,0,0,0,0,0,1,0,0
1,0,0,0,0,1,0,0,0,0,1,0,0
1,1,0,0,0,1,0,0,0,0,1,0,0
1,0,1,0,0,1,0,0,0,0,1,0,0
1,0,0,1,1,1,0,0,0,0,1,0,0
1,0,0,0,0,0,1,0,0,0,1,0,0
1,1,0,0,0,0,1,0,0,0,1,0,0
1,0,1,0,0,0,1,0,0,0,1,0,0
1,0,0,1,1,0,1,0,0,0,1,0,0
1,0,0,0,0,1,1,0,0,0,1,0,0
1,0,0,0,0,0,0,1,0,0,1,0,0
1,1,0,0,0,0,0,1,0,0,1,0,0
1,0,1,0,0,0,0,1,0,0,1,0,0
1,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,0,1,0,1,0,0,1,0,0
1,0,0,0,0,0,1,1,0,0,1,0,0
1,0,0,0,0,0,0,0,1,0,1,0,0
1,1,0,0,0,0,0,0,1,0,1,0,0
1,0,1,0,0,0,0,0,1,0,1,0,0
1,0,0,1,1,0,0,0,1,0,1,0,0
1,0,0,0,0,1,0,0,1,0,1,0,0
1,0,0,0,0,0,1,0,1,0,1,0,0
1,0,0,0,0,0,0,1,1,0,1,0,0
1,0,0,0,0,0,0,0,0,1,1,0,0
1,1,0,0,0,0,0,0,0,1,1,0,0
1,0,1,0,0,0,0,0,0,1,1,0,0
1,0,0,1,1,0,0,0,0,1,1,0,0
1,0,0,0,0,1,0,0,0,1,1,0,0
1,0,0,0,0,0,1,0,0,1,1,0,0
1,0,0,0,0,0,0,1,0,1,1,0,0
1,0,0,0,0,0,0,0,1,1,1,0,0
1,0,0,0,0,0,0,0,0,0,1,30,0
1,1,0,0,0,0,0,0,0,0,1,30,0.349422872699187
1,0,1,0,0,0,0,0,0,0,1,30,0.311171945741138
1,1,1,0,0,0,0,0,0,0,1,30,0.426889412217456
1,0,0,1,1,0,0,0,0,0,1,30,0.422024870065021
1,1,0,1,1,0,0,0,0,0,1,30,0.871654043794553
1,0,1,1,1,0,0,0,0,0,1,30,0.768115224853579
1,0,0,0,0,1,0,0,0,0,1,30,0.223043119099667
1,1,0,0,0,1,0,0,0,0,1,30,0.359172105743212
1,0,1,0,0,1,0,0,0,0,1,30,0.430935145342605
1,0,0,1,1,1,0,0,0,0,1,30,0.80485914145662
1,0,0,0,0,0,1,0,0,0,1,30,0.266163073688157
1,1,0,0,0,0,1,0,0,0,1,30,0.492416330004072
1,0,1,0,0,0,1,0,0,0,1,30,0.517960950597479
1,0,0,1,1,0,1,0,0,0,1,30,1
1,0,0,0,0,1,1,0,0,0,1,30,0.499443051791754
1,0,0,0,0,0,0,1,0,0,1,30,0.158025470868836
1,1,0,0,0,0,0,1,0,0,1,30,0.341870115691845
1,0,1,0,0,0,0,1,0,0,1,30,0.424893180415133
1,0,0,1,1,0,0,1,0,0,1,30,0.74350581555744
1,0,0,0,0,1,0,1,0,0,1,30,0.448244604935504
1,0,0,0,0,0,1,1,0,0,1,30,0.478775239134918
1,0,0,0,0,0,0,0,1,0,1,30,0.252664272854058
1,1,0,0,0,0,0,0,1,0,1,30,0.534538822868061
1,0,1,0,0,0,0,0,1,0,1,30,0.523772979400123
1,0,0,1,1,0,0,0,1,0,1,30,0.697642466671786
1,0,0,0,0,1,0,0,1,0,1,30,0.360222342038745
1,0,0,0,0,0,1,0,1,0,1,30,0.457528507555407
1,0,0,0,0,0,0,1,1,0,1,30,0.266201734570667
1,0,0,0,0,0,0,0,0,1,1,30,0.184038355124467
1,1,0,0,0,0,0,0,0,1,1,30,0.362528502116838
1,0,1,0,0,0,0,0,0,1,1,30,0.333180935502018
1,0,0,1,1,0,0,0,0,1,1,30,0.624327059823575
1,0,0,0,0,1,0,0,0,1,1,30,0.293015945243997
1,0,0,0,0,0,1,0,0,1,1,30,0.403804507193731
1,0,0,0,0,0,0,1,0,1,1,30,0.270989918307987
1,0,0,0,0,0,0,0,1,1,1,30,0.413114527148415
